11/18/2014 01:19:50 PM | mysql2csv | INFO | Fetching table info...
11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | INFO | Done.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Verifying partition...
11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | INFO | Check OK. Partition "rx201411" exists in table "TEST.Persons_partitioned".
11/18/2014 01:19:50 PM | mysql2csv | INFO | Done.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Counting rows in source...
11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | INFO | 47
11/18/2014 01:19:50 PM | mysql2csv | INFO | Done.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Fetching source column names...
11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | WARNING | Warning: Using a password on the command line interface can be insecure.

11/18/2014 01:19:50 PM | mysql2csv | INFO | Got 10 columns.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Done.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Starting Thread-0
11/18/2014 01:19:50 PM | mysql2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:19:50 PM | mysql2csv | INFO | Extracting data...
11/18/2014 01:19:50 PM | mysql2csv | ERROR | Warning: Using a password on the command line interface can be insecure.
ERROR 1086 (HY000) at line 1: File 'c:\Python27\csvextractor_1235\CSV_OUT\testMYSQL_Partition.data' already exists

11/18/2014 01:19:50 PM | mysql2csv | INFO | Done.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Thread-0 exit status 0
11/18/2014 01:19:50 PM | mysql2csv | INFO | Exiting Thread-0
11/18/2014 01:19:50 PM | mysql2csv | INFO | Shard-0/0:		n/a
11/18/2014 01:19:50 PM | mysql2csv | INFO | TOTAL Bytes:        4606 Bytes
11/18/2014 01:19:50 PM | mysql2csv | INFO | TOTAL Rows:		n/a
11/18/2014 01:19:50 PM | mysql2csv | INFO | Done.
11/18/2014 01:19:50 PM | mysql2csv | INFO | Elapsed: 00:00:00
