11/18/2014 01:11:47 PM | tten2csv | WARNING | Overriding num_of_shards (1) to be equal number of queries (3).
11/18/2014 01:11:47 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:11:50 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:11:54 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:11:59 PM | tten2csv | INFO | Starting Thread-0
11/18/2014 01:11:59 PM | tten2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:11:59 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:12:00 PM | tten2csv | INFO | Done.
11/18/2014 01:12:00 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:12:00 PM | tten2csv | INFO | Thread-0 processing Shard-1
11/18/2014 01:12:00 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:12:02 PM | tten2csv | INFO | Done.
11/18/2014 01:12:02 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:12:02 PM | tten2csv | INFO | Thread-0 processing Shard-2
11/18/2014 01:12:02 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:12:04 PM | tten2csv | INFO | Done.
11/18/2014 01:12:04 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:12:04 PM | tten2csv | INFO | Exiting Thread-0
11/18/2014 01:12:04 PM | tten2csv | INFO | Shard-0/0:		n/a
11/18/2014 01:12:04 PM | tten2csv | INFO | Shard-1/0:		n/a
11/18/2014 01:12:04 PM | tten2csv | INFO | Shard-2/0:		n/a
11/18/2014 01:12:04 PM | tten2csv | INFO | TOTAL Bytes:       14490 Bytes
11/18/2014 01:12:04 PM | tten2csv | INFO | TOTAL Rows:		n/a
11/18/2014 01:12:04 PM | tten2csv | INFO | Done.
11/18/2014 01:12:04 PM | tten2csv | INFO | Elapsed: 00:00:17
