11/18/2014 01:16:51 PM | dbtws2csv | INFO | Counting rows in source...
11/18/2014 01:16:53 PM | dbtws2csv | INFO | Fetching query columns.
11/18/2014 01:16:55 PM | dbtws2csv | INFO | Got 10 columns.
11/18/2014 01:16:55 PM | dbtws2csv | INFO | Starting Thread-0
11/18/2014 01:16:55 PM | dbtws2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:16:55 PM | dbtws2csv | INFO | Extracting data...
11/18/2014 01:16:58 PM | dbtws2csv | INFO | Done.
11/18/2014 01:16:58 PM | dbtws2csv | INFO | Thread-0 exit status 0
11/18/2014 01:16:58 PM | dbtws2csv | INFO | Exiting Thread-0
11/18/2014 01:16:58 PM | dbtws2csv | INFO | Shard-0/0:          15 rows
11/18/2014 01:16:58 PM | dbtws2csv | INFO | TOTAL Bytes:        1575 Bytes
11/18/2014 01:16:58 PM | dbtws2csv | INFO | TOTAL Rows:           15 Rows
11/18/2014 01:16:58 PM | dbtws2csv | INFO | Done.
11/18/2014 01:16:58 PM | dbtws2csv | INFO | Elapsed: 00:00:06
